Categorie	Startup	Tier	Region	Titre du poste	Lien offre	Tech startup	Site startup
Stage / Alternance	Welcome to the Jungle	A	Île-de-France	ALTERNANCE - Chargée / Chargé de communication interne	https://www.welcometothejungle.com/fr/companies/arianegroup/jobs/alternance-chargee-charge-de-communication-interne_les-mureaux	+2 machine learning, +2 data science, +2 GPU, +2 PhD, +2 transformer, +2 open-source	https://www.welcometothejungle.com/fr
Stage / Alternance	Welcome to the Jungle	A	Île-de-France	ALTERNANCE - Chargée / Chargé de communication interne (H/F)	https://www.welcometothejungle.com/fr/companies/arianegroup/jobs/alternance-chargee-charge-de-communication-interne-h-f_saint-medard-en-jalles	+2 machine learning, +2 data science, +2 GPU, +2 PhD, +2 transformer, +2 open-source	https://www.welcometothejungle.com/fr
Marketing / Growth	Welcome to the Jungle	A	Île-de-France	Chargé(e) de Communication	https://www.welcometothejungle.com/fr/companies/societe-generale/jobs/charge-de-communication_puteaux_SG_WYj5MLz	+2 machine learning, +2 data science, +2 GPU, +2 PhD, +2 transformer, +2 open-source	https://www.welcometothejungle.com/fr
Stage / Alternance	Welcome to the Jungle	A	Île-de-France	Apprentissage : Gestion de la Communication & des données Concurrence	https://www.welcometothejungle.com/fr/companies/stellantis-/jobs/apprentissage-gestion-de-la-communication-des-donnees-concurrence_poissy	+2 machine learning, +2 data science, +2 GPU, +2 PhD, +2 transformer, +2 open-source	https://www.welcometothejungle.com/fr
Stage / Alternance	Welcome to the Jungle	A	Île-de-France	ALTERNANCE : Master 1 ou 2 - APPUI COMMUNICATION F/H	https://www.welcometothejungle.com/fr/companies/edf/jobs/alternance-master-1-ou-2-appui-communication-f-h_paris	+2 machine learning, +2 data science, +2 GPU, +2 PhD, +2 transformer, +2 open-source	https://www.welcometothejungle.com/fr
Stage / Alternance	Welcome to the Jungle	A	Île-de-France	Alternance - Chargée ou Chargé de Communication F/H	https://www.welcometothejungle.com/fr/companies/edf/jobs/alternance-chargee-ou-charge-de-communication-f-h_saint-denis_EDF_rdODR45	+2 machine learning, +2 data science, +2 GPU, +2 PhD, +2 transformer, +2 open-source	https://www.welcometothejungle.com/fr
Stage / Alternance	Welcome to the Jungle	A	Île-de-France	ALTERNANCE: Licence 3 - Assistante/Assistant Communication Projets Audiovisuels (Photos / Vidéos) F/H	https://www.welcometothejungle.com/fr/companies/edf/jobs/alternance-licence-3-assistante-assistant-communication-projets-audiovisuels-photos-videos-f-h_paris	+2 machine learning, +2 data science, +2 GPU, +2 PhD, +2 transformer, +2 open-source	https://www.welcometothejungle.com/fr
Stage / Alternance	Welcome to the Jungle	A	Île-de-France	Chargé(e) de Communication (F/H) en alternance	https://www.welcometothejungle.com/fr/companies/axa/jobs/charge-de-communication-f-h-en-alternance_marly-le-roi	+2 machine learning, +2 data science, +2 GPU, +2 PhD, +2 transformer, +2 open-source	https://www.welcometothejungle.com/fr
Stage / Alternance	Welcome to the Jungle	A	Île-de-France	Chef de projet communication et marque employeur junior (F/H) - stage	https://www.welcometothejungle.com/fr/companies/axa/jobs/chef-de-projet-communication-et-marque-employeur-junior-f-h-stage_nanterre	+2 machine learning, +2 data science, +2 GPU, +2 PhD, +2 transformer, +2 open-source	https://www.welcometothejungle.com/fr
Marketing / Growth	Welcome to the Jungle	A	Île-de-France	CDI - RESPONSABLE COMMUNICATION DIGITALE & MÉDIAS - JOHN LOBB H/F	https://www.welcometothejungle.com/fr/companies/hermes/jobs/cdi-responsable-communication-digitale-medias-john-lobb-h-f_paris_HERMS_6d5oRb3	+2 machine learning, +2 data science, +2 GPU, +2 PhD, +2 transformer, +2 open-source	https://www.welcometothejungle.com/fr
Stage / Alternance	Welcome to the Jungle	A	Île-de-France	Apprentissage : Chargé(e) de communication après-vente	https://www.welcometothejungle.com/fr/companies/stellantis-/jobs/apprentissage-charge-de-communication-apres-vente_poissy	+2 machine learning, +2 data science, +2 GPU, +2 PhD, +2 transformer, +2 open-source	https://www.welcometothejungle.com/fr
Stage / Alternance	Welcome to the Jungle	A	Île-de-France	Stagiaire - Chef de projet Communication F/H	https://www.welcometothejungle.com/fr/companies/bnp-paribas/jobs/stagiaire-chef-de-projet-communication-f-h_puteaux	+2 machine learning, +2 data science, +2 GPU, +2 PhD, +2 transformer, +2 open-source	https://www.welcometothejungle.com/fr
Stage / Alternance	Welcome to the Jungle	A	Île-de-France	Alternance Communication Interne F/H	https://www.welcometothejungle.com/fr/companies/bnp-paribas/jobs/alternance-communication-interne-f-h_puteaux	+2 machine learning, +2 data science, +2 GPU, +2 PhD, +2 transformer, +2 open-source	https://www.welcometothejungle.com/fr
